name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
Elusive,ARE WE STILL DREAMING?,blackwave.,2019-11-08,220533,50,0.323,0.558,0.707,0.0,0.495,-6.104,0.243,167.463,0.676,4,5,0,spotify:track:2wSKzkZZJo45qRCBxM13wk
I Heard It Through The Grapevine,Every Great Motown Hit Of Marvin Gaye,Marvin Gaye,1983-08-22,196706,52,0.199,0.724,0.346,0.0,0.111,-11.256,0.0366,117.188,0.637,4,3,0,spotify:track:37j56IWzpplKE5zrlQRmxc
Buttercup,Pop Food,Jack Stauber,2017-03-25,208026,71,0.723,0.705,0.373,0.81,0.289,-9.066,0.0384,120.046,0.551,4,7,1,spotify:track:2mlGPkAx4kwF8Df0GlScsC
Untertauchen,Untertauchen,Ami Warning,2017-06-23,225570,32,0.704,0.797,0.278,0.0,0.106,-13.041,0.413,132.022,0.45,4,9,0,spotify:track:6vK1lAP0a13Un67vW2Wji8
Man Funk,Hip Hop After All,Guts,2014-09-08,233925,57,0.0545,0.859,0.628,1.29e-05,0.319,-7.199,0.257,92.047,0.678,4,10,0,spotify:track:1QQxrrABKbx5w4LIphElwb
Random,Cure,Eddy de Pretto,2018-03-02,250600,46,0.584,0.51,0.596,0.0,0.0924,-6.993,0.448,79.146,0.461,4,7,0,spotify:track:5DRTbXA6iQ502o8hNLuNu3
Spooky,Dusty... Definitely,Dusty Springfield,1968-11-22,164173,66,0.5,0.752,0.445,0.0,0.0912,-12.725,0.0338,106.283,0.964,4,4,0,spotify:track:3MtP9T0WF4xbIo8vqHYeXM
Ma il cielo è sempre più blu,La Storia,Rino Gaetano,1998-05-21,272746,54,0.15,0.647,0.642,0.0,0.272,-9.021,0.0503,145.783,0.704,4,2,1,spotify:track:1L9m2l2lhXgQ3GwmmCx3OK
Boa Sorte / Good Luck (feat. Ben Harper),Sim,Vanessa Da Mata,2007,235600,63,0.323,0.78,0.566,0.000463,0.0814,-9.289,0.05,111.019,0.281,4,11,1,spotify:track:6A3Q8BVAAI2PW1s6MX4ZGF
New York,#DIY,Trettmann,2017-09-29,226917,48,0.828,0.776,0.241,1.27e-06,0.199,-10.143,0.172,173.079,0.592,3,6,1,spotify:track:5KDa6clXFARrCU0H71qCnu
Every Time,Volta,Boogie Belgique,2016-09-23,241743,50,0.0754,0.675,0.603,0.319,0.165,-6.985,0.0413,79.003,0.169,4,7,1,spotify:track:3MDkws8QGzLrMrWVAbzoXO
Hell N Back,Hell N Back,Bakar,2019-08-15,213573,76,0.312,0.584,0.684,9.05e-05,0.112,-4.314,0.567,210.164,0.72,4,10,0,spotify:track:3NRql0A1Ef4RCvT473iqgD
Music (feat. Marvin Gaye),Music,Erick Sermon,2001-08-27,223133,58,0.187,0.897,0.466,1.35e-06,0.0757,-9.053,0.203,100.01,0.884,4,10,0,spotify:track:6IFOw9Ck9mWHRQgw6QrPYx
Abusey Junction,KOKOROKO,Kokoroko,2019-03-08,424080,0,0.838,0.713,0.347,0.937,0.111,-11.871,0.0576,84.007,0.372,4,8,0,spotify:track:7vfILe0geNdQ7ilJYF45SU
Insomniac - A COLORS SHOW,Insomniac - A COLORS SHOW,Lucy Lu,2020-02-17,227027,0,0.679,0.733,0.258,0.000168,0.118,-15.884,0.159,110.867,0.209,4,4,1,spotify:track:7CZIcMc6IvWk5YrnVp6FuL
Small Town Girl,Small Town Girl,Bakar,2017-11-03,185076,52,0.832,0.814,0.52,0.0,0.273,-5.651,0.0418,129.949,0.734,4,5,1,spotify:track:7tbpHQMGcySPP07HlhWcBQ
Inner City Blues (Make Me Wanna Holler),The Complete Collection,Marvin Gaye,2008-06-10,326506,10,0.805,0.649,0.493,0.107,0.214,-12.731,0.0326,94.097,0.604,4,8,0,spotify:track:62gS43VLijrUKof5veWRPh
Postcards from Italy,Gulag Orkestar,Beirut,2006-05-06,257480,0,0.928,0.621,0.569,0.0356,0.115,-7.318,0.0297,110.022,0.402,4,5,1,spotify:track:4qBHDoJFUUSvTa4aZJfEuw
La ritournelle (Gilligan Moss Mix),La ritournelle - EP,Sébastien Tellier,2016-05-27,417012,46,0.0558,0.696,0.66,0.793,0.108,-9.016,0.036,113.012,0.519,4,5,0,spotify:track:2a5Rgz0tcXZU5uH2xmWzBg
Prickly Pear,Knee-Deep in the North Sea,Portico Quartet,2010,341880,51,0.965,0.4,0.245,0.944,0.158,-14.345,0.0338,164.165,0.268,4,3,1,spotify:track:6e65fH1wClamA2QPI5HUi3
Woñi,1958,Blick Bassy,2019-06-21,177201,53,0.906,0.596,0.408,0.000238,0.111,-13.785,0.0518,117.642,0.851,4,4,0,spotify:track:1PHvFKlYUVJsBpDawCOSk8
(Sittin' On) the Dock of the Bay,The Dock of the Bay (Mono),Otis Redding,1968,163755,75,0.684,0.769,0.367,1.62e-05,0.081,-11.226,0.0312,103.621,0.535,4,2,1,spotify:track:3zBhihYUHBmGd2bcQIobrF
Samba Pa Ti,Santana's Greatest Hits,Santana,1969,285533,39,0.785,0.404,0.389,0.316,0.0836,-12.416,0.0341,91.201,0.303,4,9,0,spotify:track:5dMXqZfyUOB1XlAYBivRQd
Ezra Was Right,Dilation,Grandbrothers,2015-02-23,471400,44,0.627,0.615,0.641,0.789,0.171,-10.673,0.0368,96.99,0.052,4,5,1,spotify:track:5UEmnS5JI197OwyrCF1hAg
I Got The... - 2006 Remaster,Remember My Song,Labi Siffre,1975,395373,56,0.11,0.476,0.604,4.15e-05,0.134,-10.85,0.117,87.304,0.583,4,0,0,spotify:track:20VuO95A8RxUPlShnfYArW
Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,1986-03-31,226240,72,0.0135,0.898,0.271,0.00138,0.0461,-12.238,0.091,111.485,0.742,4,7,1,spotify:track:62LJFaYihsdVrrkgUOJC05
Feel Like Makin' Love,Feel Like Makin' Love,Roberta Flack,1975,175400,60,0.833,0.681,0.264,0.441,0.103,-21.861,0.0309,93.809,0.692,4,8,1,spotify:track:7gkboYtvhuXNS4EUwmFPcw
It's a Sin,RCA Country Legends: Eddy Arnold,Eddy Arnold,2000-10-16,146093,39,0.968,0.734,0.343,1.5e-05,0.119,-10.357,0.0282,144.106,0.796,4,10,1,spotify:track:4nlH0pGxVuDKgJgY9HEfjS
