name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
Nichts war umsonst,Nichts war umsonst,Prinz Pi,2017-11-03,181506,32,0.326,0.711,0.792,0.0,0.285,-5.255,0.209,145.045,0.794,4,11,0,spotify:track:3CldMIOQKXJa6mcGsBQFMr
I Know,I Know,Bayonne,2017-10-26,264060,0,0.826,0.706,0.687,0.901,0.177,-8.84,0.0327,137.003,0.724,4,0,1,spotify:track:7pd0EjaK0m2Er7fEsOzruu
Je ne parle pas français,Je ne parle pas français,Namika,2018-04-13,180933,37,0.134,0.767,0.516,0.0,0.503,-9.466,0.0619,102.013,0.786,4,0,0,spotify:track:1KPE0cgUAsOd4LLf7qyZvq
This Is America,This Is America,Childish Gambino,2018-05-06,225773,71,0.117,0.854,0.463,0.0,0.354,-6.159,0.137,120.024,0.549,4,5,1,spotify:track:0b9oOr2ZgvyQu88wzixux9
Easy Love,Easy Love,Lauv,2017-10-06,224449,0,0.302,0.745,0.481,3.67e-06,0.0808,-8.291,0.054,137.001,0.229,4,2,1,spotify:track:2ZE3DJuizYTad2S4CvRRhK
Eyes On You,Lambs & Lions,Chase Rice,2017-11-17,182493,70,0.323,0.606,0.652,0.0,0.201,-6.982,0.0281,97.155,0.476,4,9,1,spotify:track:5AnSllIrgGsCZzZJkVnApx
Pink Rabbits,Trouble Will Find Me,The National,2013-05-27,276200,0,0.789,0.501,0.657,0.0997,0.0908,-7.332,0.0443,110.11,0.282,4,9,1,spotify:track:193ZaXTaD0dPz66pUYS3SQ
Geheime Mission,Kontrastprogramm,SDP,2010-12-10,299990,21,0.373,0.783,0.709,0.0,0.628,-6.856,0.465,125.059,0.837,4,11,0,spotify:track:6vz11TeSx0VqyWlE1IlE5Y
Fledermausland,Crackstreet Boys II X Version,Trailerpark,2012,258573,49,0.0295,0.678,0.778,0.0,0.26,-4.777,0.048,135.923,0.734,4,1,1,spotify:track:7gNXyyyP8WAe5fvryIpdUM
Trop tard,Gabrielle Shonk,Gabrielle Shonk,2017-09-29,196600,26,0.331,0.517,0.314,1.05e-05,0.105,-8.165,0.031,107.262,0.127,3,1,1,spotify:track:23zhiszsn2ljGb4tzVJ6IL
