name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
Didn’t I? (Guts Re-Edit),Brand New Revolution - EP,Guts,2012-10-19,235980,46,0.115,0.788,0.463,0.857,0.096,-8.325,0.0495,78.008,0.672,4,5,1,spotify:track:3XEo7aOlRzR5a8cF4yI5E8
Keeping Me Under,Keeping Me Under,Two Another,2016-03-11,218926,1,0.135,0.795,0.549,0.000109,0.115,-7.791,0.088,108.012,0.582,4,2,1,spotify:track:1PQNcWNJt5P9gSLRLA5gmT
Don't Matter,Don't Matter,Cherokee,2013-11-11,308256,52,0.468,0.885,0.518,0.00165,0.0999,-9.249,0.0887,108.993,0.524,4,9,0,spotify:track:2afK7FH9DWHYMqltxqf7IT
Why iii Love The Moon.,Yesterday's Tomorrow,Phony Ppl,2015-01-13,331826,59,0.547,0.706,0.483,1.94e-06,0.136,-7.929,0.0393,92.002,0.663,4,1,1,spotify:track:2x5Frs6ts14U4MSLrQQlXg
Moon,Play Me Again,Kid Francescoli,2017-03-03,390638,0,0.295,0.663,0.658,0.867,0.102,-10.001,0.0345,117.986,0.0532,4,2,1,spotify:track:0Nc1rZEB2tZLgpxw5nkpEu
So Close,So Close,Tom Misch,2014-11-03,248157,33,0.223,0.609,0.466,0.00934,0.0947,-11.735,0.178,114.039,0.492,4,8,1,spotify:track:00aQGaqM6SFzGfbgKOite0
Fisher,Sputnik II,Camel Power Club,2019-01-11,324546,49,0.0792,0.837,0.501,0.00143,0.141,-8.366,0.046,109.98,0.781,4,4,1,spotify:track:3cY2nHVVX2ZER1ttxGzLav
The Basis,"My Groove, Your Move",Lack Of Afro,2009-10-19,310466,0,0.53,0.711,0.58,0.747,0.0718,-12.792,0.0348,102.285,0.65,4,8,1,spotify:track:5IVF6G0wk3icpfq9UUOmVx
Beautiful Escape,Beat Tape 2,Tom Misch,2015-08-28,276785,61,0.0684,0.944,0.514,0.00209,0.103,-7.895,0.195,120.004,0.331,4,5,1,spotify:track:5MChi9fdCbTIWDJPPUuuW6
In the Midst of It All,Beat Tape 2,Tom Misch,2015-08-28,342603,51,0.706,0.362,0.236,0.139,0.109,-11.081,0.0468,88.421,0.0434,4,9,1,spotify:track:6vPDjg4zuLlJrzgm9vqZCj
