name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Lord Knows Best,Badlands,Dirty Beaches,2011,204346,42,0.943,0.246,0.605,0.917,0.138,-5.78,0.0383,203.224,0.262,4,3,1,spotify:track:0yZWqfxbZ6pzRPKfqmdwn9,2011
The Feeling When You Walk Away,Serpent Music,Yves Tumor,2016-09-30,180000,0,0.576,0.572,0.539,0.266,0.0846,-12.256,0.0275,86.048,0.515,4,8,1,spotify:track:2I3l32ErrSKFxVEfT7Fnuw,2016
Slush Puppy,The OOZ,King Krule,2017-10-13,162656,0,0.619,0.48,0.446,0.772,0.346,-9.334,0.0296,85.756,0.0482,3,11,1,spotify:track:0BxNOkA70xxOXnCnYWFvyp,2017
The Transfer,Space Between Breath,Nathan Jonson,2018-02-16,469222,0,0.0186,0.876,0.61,0.889,0.587,-8.249,0.107,130.987,0.519,4,9,1,spotify:track:6XhnIfjk4vYnUiufmbLdLQ,2018
Aguas Do Ganges (Takata),Abrão,Abrão,2016-08-12,314674,5,0.101,0.848,0.661,0.168,0.188,-8.167,0.0409,117.99,0.67,4,6,0,spotify:track:5BcKLEWxyvLBD2ksx8a6iF,2016
Wasteland,Gravez,Hooded Fang,2013-05-27,176706,0,0.289,0.479,0.924,0.552,0.332,-4.504,0.0579,94.545,0.645,4,9,1,spotify:track:6wUM7P4btbxqeFwN9pzFXL,2013
What Did He Say,Good Evening,Nite Jewel,2009-05-07,265775,0,0.552,0.514,0.464,0.0254,0.119,-7.052,0.0467,97.224,0.408,4,8,1,spotify:track:2aCDeO5o0pPWt2w9IBy2tI,2009
Tropic Of Cancer,Panda Bear Meets The Grim Reaper,Panda Bear,2015-01-12,372666,30,0.903,0.255,0.46,0.00187,0.108,-9.465,0.0388,121.234,0.138,3,7,1,spotify:track:6kUs2GCl1LaGdkoBkzeKbR,2015
Tonight,Coles Corner,Richard Hawley,2005-09-05,272386,39,0.966,0.249,0.201,6.22e-05,0.101,-15.344,0.0336,152.88,0.155,3,2,1,spotify:track:3RzggZDNWe1L2dNB8nbMOI,2005
Blue Dream,"Find Out What Happens When People Stop Being Polite, And Start Gettin' Reel",Hype Williams,2010-12-07,163906,0,0.245,0.624,0.563,0.783,0.155,-9.099,0.0373,165.29,0.68,4,10,0,spotify:track:6DjD0YrerB11AMEkLm8jAl,2010
Champagne - Luke Abbott Remix,"Grieve Not, But Try Again EP",Various Artists,2017-07-07,268144,12,0.181,0.613,0.587,4.36e-06,0.0979,-11.041,0.0349,97.998,0.229,4,11,0,spotify:track:2CudtsgZpUDLcc0VC0uIjK,2017
Safe Home,Milky Way,Danger Beach,2010-07-13,114960,1,0.445,0.212,0.419,0.837,0.228,-15.094,0.0313,163.233,0.623,4,6,1,spotify:track:0UXc1gyjpgQEsbZAdU2R7R,2010
All this I do for glory,All This I Do For Glory,Colin Stetson,2017-04-28,439733,0,0.64,0.411,0.344,0.89,0.0927,-14.762,0.0815,137.645,0.35,4,1,1,spotify:track:3HAbaJOyfbHuESUB6mKPH2,2017
The Ooz,The OOZ,King Krule,2017-10-13,275754,0,0.342,0.335,0.5,0.142,0.444,-9.176,0.032,71.258,0.0394,3,9,1,spotify:track:3Q3qxdit0yz75VtQb3Peht,2017
"Greed, Money, Useless Children",Blood Visions,Jay Reatard,2009,54293,24,0.0168,0.47,0.986,0.0,0.84,0.77,0.118,144.844,0.398,4,9,1,spotify:track:2vCdBPCwyoXrHG2Hjo1hbj,2009
I Hope to Be Around,I Hope to Be Around,Men I Trust,2017-11-10,205554,58,0.78,0.821,0.383,0.00171,0.11,-9.355,0.0387,87.954,0.788,4,11,1,spotify:track:0Molxw6WdYhOifas6NiQL2,2017
With You,Better Strange,James Supercave,2016-02-12,231760,0,0.888,0.358,0.152,0.446,0.0865,-13.654,0.0281,94.117,0.132,4,5,0,spotify:track:2s2BXB0U9qKCiPeSzzSCei,2016
3 Days,Woman,Rhye,2013-01-01,255720,58,0.828,0.853,0.474,0.00755,0.306,-10.711,0.049,115.052,0.636,4,9,1,spotify:track:5KytIKWqQJXb2T3RNOyi9G,2013
Ribbons,Waiting at the Corner,Club Kuru,2017-03-31,220256,6,0.13,0.455,0.725,0.0348,0.355,-8.049,0.076,130.191,0.401,4,10,1,spotify:track:7nmS5Ody5HYOEgEyRg5D5Q,2017
oh baby,american dream,LCD Soundsystem,2017-09-01,349693,56,0.0192,0.58,0.622,0.653,0.648,-12.005,0.0352,169.442,0.781,4,5,1,spotify:track:53PkA8aXiwH4ppa0V0iO7o,2017
Touchdown,Screen Memories,John Maus,2017-10-27,221408,34,0.00928,0.618,0.525,0.822,0.11,-12.619,0.0426,100.01,0.417,4,6,0,spotify:track:1d196XS0Iwdzswlm6gOo4P,2017
