"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:40jxatV29fk82SAziDsPqN","Rose Golden","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:3rWZHrfrsPBxVy692yAIxF","Kid Cudi, WILLOW","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","7","277813","https://p.scdn.co/mp3-preview/b6ad456b026d54baaa8d3427a76155c3d270e39a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","spotify:user:","2017-11-18T01:15:45Z"
"spotify:track:0rRjGruFonCGOt0S5zAJNQ","The Other Side Of Paradise","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:6qb9MDR0lfsN9a2pw77uJy","How To Be A Human Being","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2016-08-26","https://i.scdn.co/image/ab67616d0000b273ec3d15eab5bd77027abc4b23","1","8","320654","https://p.scdn.co/mp3-preview/81068080c4f5eaef427877efd9b984e84c051401?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","spotify:user:","2017-11-18T01:15:45Z"
"spotify:track:4IJpSYe4IvgC3VyhY9NEsd","Bohemian Bird","spotify:artist:6Xa4nbrSTfbioA4lLShbjh","Grizfolk","spotify:album:6R6Xy2gwyTO6GS1Cs4K1cI","Waking Up The Giants","spotify:artist:6Xa4nbrSTfbioA4lLShbjh","Grizfolk","2015-12-04","https://i.scdn.co/image/ab67616d0000b273bda2178fd88a11c96dde5e2e","1","11","222226","https://p.scdn.co/mp3-preview/fa423d88a3d6426f743c67610245777014fc2eb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2017-11-18T01:15:45Z"
"spotify:track:2Xzwy48kdZBWGo2lTc8fVn","Restless","spotify:artist:6VDdCwrBM4qQaGxoAyxyJC","Cold War Kids","spotify:album:7ivgZAxvcUXk33Jk4Hi7On","LA DIVINE","spotify:artist:6VDdCwrBM4qQaGxoAyxyJC","Cold War Kids","2017-04-07","https://i.scdn.co/image/ab67616d0000b2732d0fb302fc70db48c971b3dc","1","4","292680","https://p.scdn.co/mp3-preview/6717c1d6dc24d832d84cb09c7ded5ff08225f21e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:","2017-11-18T01:15:45Z"
"spotify:track:6prvUr8l3t7x5GY7heQb5w","Agnes","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:6qb9MDR0lfsN9a2pw77uJy","How To Be A Human Being","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2016-08-26","https://i.scdn.co/image/ab67616d0000b273ec3d15eab5bd77027abc4b23","1","11","271672","https://p.scdn.co/mp3-preview/00bf12680067714961f484b6cf277f8eb737026a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:","2017-11-18T01:15:45Z"
"spotify:track:5BoOzegGrg5XFRR8UBDtkF","Broken Whiskey Glass","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:5s0rmjP8XOPhP6HhqOhuyC","Stoney (Deluxe)","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2016-12-09","https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41","1","1","233813","https://p.scdn.co/mp3-preview/667897a66f179de792bf9f72605f7fbb72c9b4af?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:","2017-11-18T01:15:45Z"
"spotify:track:6HZILIRieu8S0iqY8kIKhj","DNA.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2017-04-14","https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699","1","2","185946","https://p.scdn.co/mp3-preview/7c9aac4ace7e49d4dfd2689bcd6a1a25974bdabd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","spotify:user:","2017-11-18T01:15:45Z"
"spotify:track:5pLpkaIRobcvPnUmclNv6o","Technicolour Beat","spotify:artist:5cIc3SBFuBLVxJz58W2tU9","Oh Wonder","spotify:album:37ABUtLPqktcopsBJ7jmXT","Oh Wonder","spotify:artist:5cIc3SBFuBLVxJz58W2tU9","Oh Wonder","2015-09-04","https://i.scdn.co/image/ab67616d0000b2737cc94e776ebb63dd08c8422c","1","3","180119","https://p.scdn.co/mp3-preview/d62a5d7148346862caa7e8fa051382eaf50e7d35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2017-11-18T01:15:45Z"
"spotify:track:3slBHvoQcO8HjscbP2QKk5","More Than You Know","spotify:artist:2XnBwblw31dfGnspMIwgWz","Axwell /\ Ingrosso","spotify:album:4VsMF0h0YMeoVNLWjNqnfs","More Than You Know","spotify:artist:2XnBwblw31dfGnspMIwgWz, spotify:artist:1xNmvlEiICkRlRGqlNFZ43, spotify:artist:6hyMWrxGBsOx6sWcVj1DqP","Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso","2017-05-24","https://i.scdn.co/image/ab67616d0000b2738a9bfa010f9f05ff421b88d1","1","1","203000","","false","0","spotify:user:","2017-11-18T01:15:45Z"
"spotify:track:6A8dnC0xkiuWN4BshmTB2I","Oceans Away","spotify:artist:7hOGhpa8RMSuDOWntGIAJt","A R I Z O N A","spotify:album:2FNk380jCQyICbwtkOdEHE","GALLERY","spotify:artist:7hOGhpa8RMSuDOWntGIAJt","A R I Z O N A","2017-05-19","https://i.scdn.co/image/ab67616d0000b27350a25f1cb71018982b81ca2b","1","12","194013","https://p.scdn.co/mp3-preview/8de2087a95565a0b870a96cc747d49ee8d24abb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2017-11-18T01:15:45Z"
