"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1X4zczytYgZk0UGxaH9oYw","Chamäleon","spotify:artist:1FXdfOOisB3d3hfZOjhjID","Esther Graf","spotify:album:4eJvGoHkExRfyeAUMNzyYW","Chamäleon","spotify:artist:1FXdfOOisB3d3hfZOjhjID","Esther Graf","2019-05-24","https://i.scdn.co/image/ab67616d0000b27330e29cdeb292e979f82af847","1","1","168082","","false","0","spotify:user:","2020-11-27T12:53:58Z"
"spotify:track:4zpZ0saTZ8f3GLiJPO7DG7","Gute Menschen","spotify:artist:5syyAQTWJ2BaLtjOKE99MK","OK KID","spotify:album:50kmsJT5RasMgvpKIPBgt4","Zwei","spotify:artist:5syyAQTWJ2BaLtjOKE99MK","OK KID","2016-04-08","https://i.scdn.co/image/ab67616d0000b273af91e51c5ff6ee3a274e1525","1","3","227613","https://p.scdn.co/mp3-preview/02c416d905c393e5446eed3d616a6327592179f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2020-11-27T12:53:58Z"
"spotify:track:5zpGxLGLxQvgQzO8jYTzAU","Live In Life","spotify:artist:2hrWpLNoJcs1EnWSXvB6JI","The Rubens","spotify:album:1mfUZpugk6C9Qi0WOnfm4B","Live In Life","spotify:artist:2hrWpLNoJcs1EnWSXvB6JI","The Rubens","2019-11-13","https://i.scdn.co/image/ab67616d0000b2732aab337f581cc8467e8491c3","1","1","216447","","false","1","spotify:user:","2020-11-27T12:53:58Z"
"spotify:track:1TuqA75LagFurPtFGPQ0VG","Fear of Falling Asleep (Henry Green Remix)","spotify:artist:1I9HNoVK6kOQGVZfulXVnm, spotify:artist:0VbDAlm2KUlKI5UhXRBKWp","TENDER, Henry Green","spotify:album:3jLuB8UoqAAO9w0c02sEVP","Fear of Falling Asleep (Henry Green Remix)","spotify:artist:1I9HNoVK6kOQGVZfulXVnm","TENDER","2019-08-01","https://i.scdn.co/image/ab67616d0000b27329c1ab5d7eb48bcd487377fb","1","1","243760","https://p.scdn.co/mp3-preview/25e6358a40dce950a8b806210d422701806e229e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:","2020-11-27T12:53:58Z"
"spotify:track:4TnFANpjVwVKWzkxNzIyFH","Ne reviens pas","spotify:artist:2tcoLkA9Hexz70Kuc1NTUl, spotify:artist:3YwqjMyrRfuixi2pbgTGCE","Gradur, Heuss L'enfoiré","spotify:album:7ilqGyawRNe3bXNfLYtrfo","Zone 59","spotify:artist:2tcoLkA9Hexz70Kuc1NTUl","Gradur","2019-11-29","https://i.scdn.co/image/ab67616d0000b2738320af5749259913564098be","1","7","188613","https://p.scdn.co/mp3-preview/2e737d8647395a8ba10d7d42ddfceaefd0d57985?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:","2020-11-27T12:53:58Z"
"spotify:track:6ezZTpRzpz97Ke3tCS6zpH","Der Rest meines Lebens","spotify:artist:2TiXt00aPsggbxZxL1RaG7, spotify:artist:0d2e8VbttQLewZySpLQudr","KUMMER, Max Raabe","spotify:album:4E7HxVevq5O1XmvWhCEKXS","KIOX","spotify:artist:2TiXt00aPsggbxZxL1RaG7","KUMMER","2019-10-10","https://i.scdn.co/image/ab67616d0000b2731b39487cf698508cbce6a5e7","1","5","168838","https://p.scdn.co/mp3-preview/2da04f95821a47bffea4ce1ad22f0c4a5732ce65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2020-11-27T12:53:58Z"
"spotify:track:5DYD4zlGiFlkpLaf2Bk8Vl","Your Love (Déjà Vu)","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:7xz9Hi6y8KaYlLNSkvme0W","Your Love (Déjà Vu)","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2020-02-19","https://i.scdn.co/image/ab67616d0000b273723f3c3e968f176a130ff102","1","1","234372","https://p.scdn.co/mp3-preview/be17ccf40cffad7422cc123e7bd73ddc01530f90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2020-11-27T12:53:58Z"
"spotify:track:4eWtfFuJUzj5Jq1Ecrsbyz","изумруд","spotify:artist:1Y53ZUhXBydAzILo4Qa0s1","Manizha","spotify:album:0LSuV3aSojtWZZQngOmJ1a","ЯIAM","spotify:artist:1Y53ZUhXBydAzILo4Qa0s1","Manizha","2018-03-23","https://i.scdn.co/image/ab67616d0000b273efa56a484e2904d143b2ac4b","1","4","254386","https://p.scdn.co/mp3-preview/8ad84c15cd60bd69819346a8d699ed224510fd0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2020-11-27T12:53:58Z"
"spotify:track:6HjPM1fi2zOEsLECmvz04f","Bank","spotify:artist:5syyAQTWJ2BaLtjOKE99MK","OK KID","spotify:album:50kmsJT5RasMgvpKIPBgt4","Zwei","spotify:artist:5syyAQTWJ2BaLtjOKE99MK","OK KID","2016-04-08","https://i.scdn.co/image/ab67616d0000b273af91e51c5ff6ee3a274e1525","1","5","245506","https://p.scdn.co/mp3-preview/4b8e514a2227b3622c9d9eed079de2455297b962?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:","2020-11-27T12:53:58Z"
"spotify:track:5a6EUrT2wnLmlqBEGUkA2C","Поезда","spotify:artist:0bOSNnz9bGAUlV3OJ3rnQW","Tima Belorusskih","spotify:album:31WcYycL5qDto7JGU4xZsw","Поезда","spotify:artist:0bOSNnz9bGAUlV3OJ3rnQW","Tima Belorusskih","2019-04-18","https://i.scdn.co/image/ab67616d0000b2733092beb6063a340a0e024f7f","1","1","214508","","false","0","spotify:user:","2020-11-27T12:53:58Z"
